
Sync-Point 0, TimeBin=0, Time: 0.01, Redshift: 99, Systemstep: 0, Dloga: 0, Nsync-grv:      10648, Nsync-hyd:          0
Sync-Point 87, TimeBin=19, Time: 0.0147884, Redshift: 66.6205, Systemstep: 6.63577e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 88, TimeBin=19, Time: 0.0148551, Redshift: 66.317, Systemstep: 6.66568e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 89, TimeBin=19, Time: 0.014922, Redshift: 66.015, Systemstep: 6.69573e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 90, TimeBin=19, Time: 0.0149893, Redshift: 65.7143, Systemstep: 6.72591e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 91, TimeBin=19, Time: 0.0150569, Redshift: 65.4149, Systemstep: 6.75622e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 92, TimeBin=19, Time: 0.0151247, Redshift: 65.1169, Systemstep: 6.78667e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 93, TimeBin=19, Time: 0.0151929, Redshift: 64.8202, Systemstep: 6.81726e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 94, TimeBin=19, Time: 0.0152614, Redshift: 64.5249, Systemstep: 6.84799e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 95, TimeBin=19, Time: 0.0153302, Redshift: 64.2309, Systemstep: 6.87886e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 96, TimeBin=19, Time: 0.0153993, Redshift: 63.9382, Systemstep: 6.90986e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 97, TimeBin=19, Time: 0.0154687, Redshift: 63.6468, Systemstep: 6.94101e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 98, TimeBin=19, Time: 0.0155384, Redshift: 63.3567, Systemstep: 6.9723e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 99, TimeBin=19, Time: 0.0156084, Redshift: 63.0679, Systemstep: 7.00372e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 100, TimeBin=19, Time: 0.0156788, Redshift: 62.7804, Systemstep: 7.03529e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 101, TimeBin=19, Time: 0.0157495, Redshift: 62.4942, Systemstep: 7.067e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 102, TimeBin=19, Time: 0.0158204, Redshift: 62.2093, Systemstep: 7.09885e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 103, TimeBin=19, Time: 0.0158918, Redshift: 61.9257, Systemstep: 7.13085e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 104, TimeBin=19, Time: 0.0159634, Redshift: 61.6434, Systemstep: 7.16299e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 105, TimeBin=19, Time: 0.0160353, Redshift: 61.3623, Systemstep: 7.19528e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 106, TimeBin=19, Time: 0.0161076, Redshift: 61.0824, Systemstep: 7.22771e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 107, TimeBin=19, Time: 0.0161802, Redshift: 60.8039, Systemstep: 7.26029e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 108, TimeBin=19, Time: 0.0162531, Redshift: 60.5265, Systemstep: 7.29301e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 109, TimeBin=19, Time: 0.0163264, Redshift: 60.2505, Systemstep: 7.32589e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 110, TimeBin=19, Time: 0.0164, Redshift: 59.9756, Systemstep: 7.35891e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 111, TimeBin=19, Time: 0.0164739, Redshift: 59.702, Systemstep: 7.39208e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

